name,class,rating,status,constituency,connection,officer,proposal,priority,zip,af14,af15,af16,af17,af18,cap14,cap15,cap16,cap17,cap18,city,state,latitude,longitude
"Dye, Sergio",2006,110000,Solicitation,Alumn,Modestly Connected,"Barela, Audreana",500146,Professorship,50642,204,252,123,259,168,20000,20000,20000,10000,20000,Holland,IA,42.43442,-92.79802
"Barringer, Aurelia",1987,100000,Stewardship,Alumn,Modestly Connected,NA,NA,,12454,0,266,246,0,348,20000,10000,20000,20000,10000,Maplecrest,NY,42.280261,-74.18349
"Pierce, Phuc",1973,NA,NA,Alumn,Modestly Connected,NA,NA,,56542,0,87,0,14,1,10000,20000,10000,10000,10000,Fosston,MN,47.571567,-95.73784
"Alanizi, Brandon",1993,100000,Not a Prospect,Alumn,Modestly Connected,"Barela, Audreana",NA,,39348,0,0,0,0,0,10000,10000,10000,10000,10000,Paulding,MS,32.026165,-89.03762
"el-Arif, Miska",2008,100000,Annual Fund Leadership,Alumn,Connected,"Barela, Audreana",NA,,59323,0,0,0,0,0,10000,10000,10000,10000,10000,Colstrip,MT,45.915952,-106.65505
"Westbrook, Nikki",1989,110000,Solicitation,Alumn,Somewhat Connected,"Barela, Audreana",NA,,55976,129,43,0,209,0,10000,20000,10000,10000,20000,Stewartville,MN,43.862105,-92.49849
"Hubbard, Anissa",1988,100000,Assessment,Alumn,Somewhat Connected,NA,NA,,21727,232,102,286,96,208,20000,20000,20000,20000,20000,Emmitsburg,MD,39.695328,-77.32721
"Nadler, Dylan",1970,110000,Assessment,Alumn,Connected,NA,500340,Residence Hall,80904,564,486,379,575,379,20000,20000,20000,20000,20000,Colorado Springs,CO,38.850558,-104.86481
"Ellis, Sydney",2009,110000,Not a Prospect,Alumn,Connected,"el-Jaffer, Zaahira",NA,,85382,486,653,451,559,536,20000,20000,20000,20000,20000,Peoria,AZ,33.689869,-112.24838
"el-Radi, Inaaya",1950,110000,Stewardship,Alumn,Modestly Connected,NA,NA,,16444,198,660,354,309,556,20000,20000,20000,20000,20000,Edinboro,PA,42.182748,-80.064915
"Strobel, Bethany",1986,110000,Not a Prospect,Alumn,Somewhat Connected,"Barela, Audreana",NA,,16056,298,346,276,274,312,20000,20000,20000,20000,20000,Saxonburg,PA,40.732393,-79.83422
"Higgs, Zakia",2005,110000,Cultivation,Alumn,Connected,"al-Aboud, Mahdeeya",500257,Math/Science Center,40348,202,432,291,227,391,20000,20000,20000,20000,20000,Millersburg,KY,38.302495,-84.14578
"al-Harron, Taalib",2014,100000,Assessment,Alumn,Somewhat Connected,"Barela, Audreana",NA,,18239,0,253,88,0,252,20000,10000,20000,10000,10000,Milnesville,PA,40.989783,-75.98173
"Deherrera, Steven",1960,110000,Stewardship,Alumn,Connected,"el-Jaffer, Zaahira",NA,,52752,263,226,22,403,54,10000,20000,10000,10000,20000,Grandview,IA,41.277239,-91.18897
"Barrios Alaniz, Maria Celeste",1969,NA,NA,Alumn,Very Connected,NA,NA,,35089,495,360,435,486,355,20000,20000,20000,20000,20000,Kellyton,AL,32.941708,-86.06098
"Whitelance III, Kelsi",2007,NA,NA,Alumn,Somewhat Connected,NA,500032,Residence Hall,47144,226,54,219,173,118,20000,20000,10000,20000,10000,Jeffersonville,IN,38.286819,-85.732062
"al-Malek, Rasheeda",1984,100000,Annual Fund Leadership,Alumn,Not Connected,NA,NA,,70162,96,287,241,88,307,20000,10000,20000,20000,20000,New Orleans,LA,30.032997,-89.882564
"Bankus, Melissa",1951,100000,Annual Fund Leadership,Alumn,Somewhat Connected,NA,499906,Professorship,06078,124,0,90,81,0,20000,10000,10000,20000,10000,Suffield,CT,41.985946,-72.63897
"Rojanaphong, Kevin",1980,110000,Annual Fund Leadership,Alumn,Very Connected,"el-Jaffer, Zaahira",NA,,11369,96,105,0,166,17,10000,20000,10000,10000,20000,East Elmhurst,NY,40.762854,-73.87051
"Le Beau, Cetan",1965,NA,NA,Alumn,Modestly Connected,NA,NA,,11594,6,0,0,0,0,10000,10000,10000,10000,10000,Westbury,NY,40.754757,-73.601772
"Walton, Jade",2001,100000,Annual Fund Leadership,Alumn,Modestly Connected,NA,499696,Math/Science Center,76550,0,0,0,0,0,10000,10000,10000,10000,10000,Lampasas,TX,31.06639,-98.19192
"Enriquez, Rubyanna",1972,110000,Assessment,Alumn,Somewhat Connected,"al-Aboud, Mahdeeya",NA,,75404,20,343,251,55,360,20000,10000,20000,20000,10000,Greenville,TX,33.056265,-96.080973
"al-Demian, Taamir",1951,110000,Cultivation,Alumn,Connected,NA,500126,Athletics,39348,406,236,218,400,171,20000,20000,20000,20000,20000,Paulding,MS,32.026165,-89.03762
"Mclean, Benjamin",NA,110000,Assessment,Parent,Connected,"el-Jaffer, Zaahira",NA,,26587,0,388,227,54,376,20000,10000,20000,20000,10000,Rachel,WV,39.520705,-80.30336
"Kocina, Joshua",1999,100000,Annual Fund Leadership,Alumn,Modestly Connected,NA,NA,,94923,325,0,75,172,0,10000,20000,10000,20000,10000,Bodega Bay,CA,38.347701,-123.05869
"Zilavy, Jessica",1956,NA,NA,Alumn,Not Connected,NA,NA,,92074,0,0,0,0,47,10000,10000,20000,10000,10000,Poway,CA,33.016928,-116.846046
"Deyoung, Sunya",1983,100000,Annual Fund Leadership,Alumn,Not Connected,NA,499783,Athletics,31150,0,0,54,0,0,10000,10000,10000,20000,10000,Atlanta,GA,33.844371,-84.47405
"Alamilla, Alissa",1955,NA,NA,Alumn,Connected,NA,NA,,71942,217,163,0,300,22,10000,20000,10000,10000,20000,Friendship,AR,34.223546,-93.002367
"Martinez, Davianna",1958,110000,Cultivation,Alumn,Modestly Connected,"el-Jaffer, Zaahira",NA,,93121,396,240,305,404,225,20000,20000,20000,20000,20000,Santa Barbara,CA,34.262834,-119.848555
"Cocklin, Vuong",2011,110000,Assessment,Alumn,Modestly Connected,NA,500547,Athletics,62993,530,611,476,584,515,20000,20000,20000,20000,20000,Unity,IL,37.150263,-89.27351
"Hill, Lamont",1956,NA,NA,Alumn,Modestly Connected,NA,NA,,45305,97,0,0,91,0,10000,20000,10000,10000,10000,Bellbrook,OH,39.640059,-84.0855
"Floth, Christopher",1999,110000,Solicitation,Alumn,Somewhat Connected,"al-Aboud, Mahdeeya",NA,,77298,0,83,0,56,0,10000,10000,10000,10000,10000,Houston,TX,29.83399,-95.434241
"Johnson, Kodiak",1981,100000,Annual Fund Leadership,Alumn,Modestly Connected,NA,NA,,99324,255,0,403,62,210,20000,10000,20000,20000,10000,College Place,WA,46.044936,-118.38466
"al-Ishmael, Taajuddeen",1951,100000,Not a Prospect,Alumn,Very Connected,NA,NA,,77032,0,0,0,0,0,10000,10000,10000,10000,10000,Houston,TX,29.944922,-95.34152
"Vigil, Chandler",NA,110000,Stewardship,Parent,Connected,NA,500326,Math/Science Center,58045,259,472,273,323,380,20000,20000,20000,20000,20000,Hillsboro,ND,47.389215,-97.05327
"Perkins, Donovan",1978,100000,Annual Fund Leadership,Alumn,Not Connected,NA,NA,,19070,0,124,0,0,102,10000,10000,20000,10000,10000,Morton,PA,39.906312,-75.32489
"Baylor, Jevon",1970,NA,NA,Alumn,Connected,NA,NA,,20053,0,0,0,0,0,10000,10000,10000,10000,10000,Washington,DC,38.893311,-77.014647
"Tran, Arun",1964,110000,Stewardship,Alumn,Not Connected,NA,NA,,80864,340,386,260,370,303,20000,20000,20000,20000,20000,Yoder,CO,38.688075,-104.17321
"al-Muhammed, Raashid",2011,NA,NA,Alumn,Very Connected,NA,NA,,41238,544,481,525,521,476,20000,20000,20000,20000,20000,Oil Springs,KY,37.841448,-82.94106
"Inai, Jade",1977,NA,NA,Alumn,Modestly Connected,NA,NA,,50626,378,195,268,330,193,20000,20000,20000,20000,20000,Dunkerton,IA,42.576054,-92.16575
"Romero, Joe",2011,NA,NA,Alumn,Somewhat Connected,NA,499823,Athletics,27511,0,0,0,0,0,10000,10000,10000,10000,10000,Cary,NC,35.755651,-78.77508
"Banks, Katherine",1966,NA,NA,Alumn,Not Connected,NA,NA,,99545,131,105,0,158,25,10000,20000,10000,10000,20000,Kongiganak,AK,60.78,-161.79
"Branch, Shania",1961,110000,Stewardship,Alumn,Very Connected,NA,499897,Athletics,12306,17,0,0,69,0,10000,20000,10000,10000,10000,Schenectady,NY,42.793326,-73.98942
"King, Teresa",NA,NA,NA,Parent,Connected,NA,499972,Athletics,63539,240,91,228,160,150,20000,20000,10000,20000,20000,Ethel,MO,39.893011,-92.74503
"Hinojos, Alyse",1994,NA,NA,Alumn,Somewhat Connected,NA,NA,,21128,34,73,0,124,0,10000,20000,10000,10000,20000,Perry Hall,MD,39.400296,-76.44639
"Hong, Kaelin",2008,100000,Not a Prospect,Alumn,Connected,NA,NA,,43147,0,0,0,0,0,10000,10000,10000,10000,10000,Pickerington,OH,39.904288,-82.756
"Bau, Tiffany",1982,100000,Annual Fund Leadership,Alumn,Connected,NA,NA,,36607,0,0,0,0,0,10000,10000,10000,10000,10000,Mobile,AL,30.699539,-88.10474
"Baltazar, Irene",1970,100000,Annual Fund Leadership,Alumn,Somewhat Connected,NA,NA,,06612,67,158,211,52,216,20000,10000,20000,20000,10000,Easton,CT,41.253946,-73.28842
"al-Abu,  Sakeena",1961,100000,Annual Fund Leadership,Alumn,Not Connected,"Barela, Audreana",499985,Professorship,04478,285,11,172,233,46,20000,20000,10000,20000,20000,Rockwood,ME,45.704599,-69.80879
"Ray, Mason",1958,100000,Annual Fund Leadership,Alumn,Not Connected,"Barela, Audreana",NA,,41238,0,0,0,0,0,10000,10000,10000,10000,10000,Oil Springs,KY,37.841448,-82.94106
"Bhartiya, Justin",1988,110000,Cultivation,Alumn,Connected,"Barela, Audreana",NA,,97906,152,499,346,182,481,20000,10000,20000,20000,20000,Harper,OR,43.875636,-117.57157
"Small, Mykeltie",2000,110000,Annual Fund Leadership,Alumn,Modestly Connected,"al-Aboud, Mahdeeya",499801,Athletics,06901,0,0,0,0,0,10000,10000,10000,10000,10000,Stamford,CT,41.051996,-73.53903
"Kolb, Benjamin",NA,110000,Cultivation,Parent,Modestly Connected,NA,NA,,12580,330,619,458,364,572,20000,20000,20000,20000,20000,Staatsburg,NY,41.854465,-73.89922
"Raymond, Dion",2003,110000,Assessment,Alumn,Connected,"el-Jaffer, Zaahira",NA,,18622,84,372,44,233,209,10000,20000,20000,10000,20000,Huntington Mills,PA,41.2044,-76.27211
"Torres, Kiana",2008,110000,Stewardship,Alumn,Connected,NA,NA,,24328,0,53,0,0,0,10000,10000,10000,10000,10000,Fancy Gap,VA,36.659171,-80.70387
"Orth, Lucero",1956,NA,NA,Alumn,Not Connected,NA,499528,Athletics,41571,0,0,0,0,0,10000,10000,10000,10000,10000,Varney,KY,37.625031,-82.38704
"Rodriguez, Celeste",2015,100000,Annual Fund Leadership,Alumn,Connected,NA,NA,,30078,0,60,6,0,81,10000,10000,20000,10000,10000,Snellville,GA,33.860955,-84.01807
"Frasier, Allison",1988,110000,Cultivation,Alumn,Somewhat Connected,NA,NA,,93619,665,559,653,568,586,20000,20000,20000,20000,20000,Clovis,CA,36.91,-119.58
"Bagsby, Sandra",1979,100000,Annual Fund Leadership,Alumn,Modestly Connected,"Barela, Audreana",NA,,67522,83,0,155,4,68,20000,10000,10000,20000,10000,Buhler,KS,38.122234,-97.74843
"Adams, Porsha",1988,NA,NA,Alumn,Somewhat Connected,NA,NA,,63539,386,406,493,336,460,20000,20000,20000,20000,20000,Ethel,MO,39.893011,-92.74503
"Sadorra, Weiliang",1980,110000,Cultivation,Alumn,Somewhat Connected,"Barela, Audreana",NA,,18509,0,0,0,0,0,10000,10000,10000,10000,10000,Scranton,PA,41.42818,-75.64726
"Gamboa, Brenda",1987,100000,Annual Fund Leadership,Alumn,Somewhat Connected,NA,NA,,12725,109,140,149,81,160,20000,10000,20000,20000,20000,Claryville,NY,41.926119,-74.55675
"el-Baten, Sadoon",1980,110000,Cultivation,Alumn,Modestly Connected,NA,NA,,33694,502,368,357,516,306,20000,20000,20000,20000,20000,Tampa,FL,27.871964,-82.438841
"D'Souza, Felicia",1960,NA,NA,Alumn,Somewhat Connected,NA,NA,,21727,530,578,596,566,568,20000,20000,20000,20000,20000,Emmitsburg,MD,39.695328,-77.32721
"Costa, Nova",1996,100000,Not a Prospect,Alumn,Somewhat Connected,NA,NA,,67663,0,226,0,0,191,10000,10000,20000,10000,10000,Plainville,KS,39.212784,-99.31688
"al-Moussa, Manaal",1979,110000,Cultivation,Alumn,Not Connected,"Barela, Audreana",NA,,32465,262,529,329,384,435,20000,20000,20000,20000,20000,Wewahitchka,FL,30.045471,-85.22822
"el-Qadir, Silmi",1986,110000,Cultivation,Alumn,Modestly Connected,"al-Aboud, Mahdeeya",NA,,44301,252,433,111,404,239,10000,20000,20000,10000,20000,Akron,OH,41.043955,-81.51919
"Martinez, Hayley",1981,110000,Cultivation,Alumn,Somewhat Connected,NA,499986,Financial Aid,52353,163,68,34,188,16,10000,20000,10000,10000,20000,Washington,IA,41.300042,-91.69743
"Kyser, Imani",1975,NA,NA,Alumn,Somewhat Connected,NA,NA,,23511,0,0,0,0,0,10000,10000,10000,10000,10000,Norfolk,VA,36.935579,-76.303417
"Nguyen, Timothy",1968,NA,NA,Alumn,Somewhat Connected,NA,NA,,83014,537,375,445,532,357,20000,20000,20000,20000,20000,Wilson,WY,43.520413,-110.86418
"Smith, Jaylen",1984,110000,Annual Fund Leadership,Alumn,Modestly Connected,"Barela, Audreana",NA,,71720,0,3,0,0,0,10000,10000,10000,10000,10000,Bearden,AR,33.733334,-92.64664
"Schiller, Rhianna",1950,NA,NA,Alumn,Modestly Connected,NA,NA,,74332,0,70,0,0,49,10000,10000,20000,10000,10000,Big Cabin,OK,36.51509,-95.22924
"al-Salek, Aabdeen",2004,110000,Annual Fund Leadership,Alumn,Very Connected,NA,NA,,34470,134,292,230,145,288,20000,10000,20000,20000,20000,Ocala,FL,29.198704,-82.10556
"el-Mowad, Shabaan",1984,110000,Assessment,Alumn,Somewhat Connected,"el-Jaffer, Zaahira",500070,Math/Science Center,12751,247,107,27,311,3,10000,20000,10000,10000,20000,Kiamesha Lake,NY,41.679152,-74.657
"Dominguez, Angela",1957,100000,Not a Prospect,Alumn,Connected,NA,499889,Math/Science Center,28691,180,20,157,99,79,20000,20000,10000,20000,10000,Valle Crucis,NC,36.209158,-81.778871
"Johnson, Adam",1988,100000,Cultivation,Alumn,Connected,"Barela, Audreana",NA,,95838,0,6,125,0,99,20000,10000,20000,20000,10000,Sacramento,CA,38.641223,-121.4417
"Mckee, Devon",NA,NA,NA,Parent,Not Connected,NA,NA,,39096,704,413,501,641,382,20000,20000,20000,20000,20000,Lorman,MS,31.825143,-91.07877
"Ohlig, Chantel",2002,100000,Not a Prospect,Alumn,Somewhat Connected,NA,NA,,40473,0,0,0,0,0,10000,10000,10000,10000,10000,Renfro Valley,KY,37.345751,-84.31614
"Lor, Nidesh",1974,110000,Assessment,Alumn,Somewhat Connected,"el-Jaffer, Zaahira",500120,Residence Hall,64155,343,114,194,340,95,20000,20000,10000,20000,20000,Kansas City,MO,39.276828,-94.57344
"Loredo, Alvaro",2005,NA,NA,Alumn,Very Connected,NA,499707,Unresistricted,63546,16,0,0,0,0,10000,10000,10000,10000,10000,Greentop,MO,40.335091,-92.52631
"el-Salim, Hudhaifa",1969,NA,NA,Alumn,Somewhat Connected,NA,499779,Athletics,36790,0,0,0,0,0,10000,10000,10000,10000,10000,Stanton,AL,32.731866,-86.90004
"Casillas Soriano, Nathaniel",1994,NA,NA,Alumn,Connected,NA,500001,Math/Science Center,11594,0,202,61,14,168,10000,10000,20000,10000,20000,Westbury,NY,40.754757,-73.601772
"Hemsouvanh, Brittany",2016,NA,NA,Alumn,Not Connected,NA,NA,,22641,175,93,124,132,99,10000,20000,10000,20000,20000,Strasburg,VA,39.076317,-78.39617
"Bandy, Alexcea",1967,100000,Annual Fund Leadership,Alumn,Connected,NA,NA,,80864,0,0,0,0,0,10000,10000,10000,10000,10000,Yoder,CO,38.688075,-104.17321
"Richard, Shannon",1982,100000,Annual Fund Leadership,Alumn,Somewhat Connected,"Barela, Audreana",500300,Residence Hall,16833,247,429,474,195,504,20000,10000,20000,20000,20000,Curwensville,PA,40.948433,-78.55176
"Pettit, Alexandra",1993,NA,NA,Alumn,Very Connected,NA,NA,,33694,198,155,239,186,192,20000,10000,20000,20000,20000,Tampa,FL,27.871964,-82.438841
"Gomez, Dejon",2012,100000,Not a Prospect,Alumn,Modestly Connected,NA,NA,,28250,0,294,209,0,348,20000,10000,20000,20000,10000,Charlotte,NC,35.26002,-80.804151
"Fernandes, Scott",2004,100000,Not a Prospect,Alumn,Connected,NA,NA,,50426,0,0,0,0,0,10000,10000,10000,10000,10000,Carpenter,IA,43.414156,-93.01693
"Maestas, Tyler",NA,100000,Annual Fund Leadership,Parent,Modestly Connected,NA,NA,,67212,129,0,0,93,0,10000,20000,10000,10000,20000,Wichita,KS,37.700632,-97.4343
"Barker, Christopher",2009,110000,Assessment,Alumn,Somewhat Connected,NA,500299,Athletics,27658,0,334,116,98,265,20000,10000,20000,10000,10000,Raleigh,NC,35.797692,-78.625265
"Edwards, Kristen",1986,NA,NA,Alumn,Modestly Connected,NA,NA,,74601,0,204,231,0,289,20000,10000,20000,20000,10000,Ponca City,OK,36.707393,-97.10167
"al-Tahir, Taiseer",2000,100000,Stewardship,Alumn,Somewhat Connected,NA,NA,,01467,0,0,0,0,0,10000,10000,10000,10000,10000,Still River,MA,42.488666,-71.62412
"al-Kamali, Subhi",1964,NA,NA,Alumn,Very Connected,NA,NA,,27658,0,0,96,0,135,20000,10000,20000,20000,10000,Raleigh,NC,35.797692,-78.625265
"Sommerville, Mary",2002,100000,Annual Fund Leadership,Alumn,Very Connected,"Barela, Audreana",NA,,36607,0,0,0,0,1,10000,10000,10000,10000,10000,Mobile,AL,30.699539,-88.10474
"Tang, Darren",1974,100000,Not a Prospect,Alumn,Modestly Connected,"Barela, Audreana",NA,,37999,0,0,78,0,64,20000,10000,10000,20000,10000,Knoxville,TN,35.990142,-83.96218
"Smith, Davier",2003,NA,NA,Alumn,Not Connected,NA,500142,Professorship,45475,393,157,282,356,170,20000,20000,20000,20000,20000,Dayton,OH,39.750471,-84.268593
"Willmann, Patrick",1952,100000,Not a Prospect,Alumn,Very Connected,NA,NA,,28691,0,0,0,0,0,10000,10000,10000,10000,10000,Valle Crucis,NC,36.209158,-81.778871
"el-Nasir, Najwa",1958,NA,NA,Alumn,Very Connected,NA,NA,,05860,11,294,0,187,89,10000,20000,20000,10000,20000,Orleans,VT,44.815511,-72.15478
"Faucett, Andy",1972,100000,Not a Prospect,Alumn,Somewhat Connected,NA,NA,,40555,202,101,272,69,207,20000,10000,20000,20000,20000,Lexington,KY,38.028269,-84.471505
"al-Ahmad, Bilaal",2006,NA,NA,Alumn,Very Connected,NA,499932,Financial Aid,05745,56,128,213,0,219,20000,10000,20000,20000,10000,Forest Dale,VT,43.592039,-72.818121
"Gehrke, Ramon",1962,110000,Solicitation,Alumn,Very Connected,"Barela, Audreana",NA,,44864,279,413,449,238,467,20000,10000,20000,20000,20000,Perrysville,OH,40.66496,-82.31994
"Lorenzo, Seina",1987,100000,Cultivation,Alumn,Very Connected,NA,NA,,79720,0,0,0,0,0,10000,10000,10000,10000,10000,Big Spring,TX,32.21649,-101.4532
"el-Abdallah, Haazima",2002,NA,NA,Alumn,Somewhat Connected,NA,NA,,59824,0,428,286,0,478,20000,10000,20000,20000,10000,Charlo,MT,47.425832,-114.17894
"Salazar, Mayra",NA,100000,Not a Prospect,Parent,Connected,"Barela, Audreana",499689,Unresistricted,90007,0,0,28,0,0,10000,10000,10000,20000,10000,Los Angeles,CA,34.026448,-118.2829
"Torrez, Fred",1981,100000,Annual Fund Leadership,Alumn,Very Connected,NA,NA,,18512,342,0,190,207,0,20000,20000,10000,20000,10000,Scranton,PA,41.427199,-75.61821
"Bolden, Scottie",1990,110000,Stewardship,Alumn,Modestly Connected,"Barela, Audreana",NA,,19088,227,271,255,226,265,20000,20000,20000,20000,20000,Wayne,PA,39.934047,-75.405987
"Delgado, Dominique",1984,NA,NA,Alumn,Very Connected,NA,NA,,53079,46,0,40,0,0,10000,10000,10000,10000,10000,Saint Cloud,WI,43.808108,-88.18164
"el-Younes, Nawfa",1996,110000,Cultivation,Alumn,Somewhat Connected,NA,500029,Financial Aid,74332,18,77,6,78,38,10000,10000,10000,10000,10000,Big Cabin,OK,36.51509,-95.22924
"Ornelas, Michelle",2012,NA,NA,Alumn,Somewhat Connected,NA,NA,,58265,0,0,0,0,0,10000,10000,10000,10000,10000,Neche,ND,48.956342,-97.59021
"Roman-Jorgenson, Macarena",1997,110000,Cultivation,Alumn,Connected,NA,500157,Residence Hall,93619,261,184,301,224,236,20000,20000,20000,20000,20000,Clovis,CA,36.91,-119.58
"Lucero, Damien",1955,NA,NA,Alumn,Somewhat Connected,NA,500003,Financial Aid,34470,590,78,452,401,201,20000,20000,10000,20000,20000,Ocala,FL,29.198704,-82.10556
"Otero, Hunter",2013,NA,NA,Alumn,Not Connected,NA,499866,Math/Science Center,99545,0,0,0,1,0,10000,10000,10000,10000,10000,Kongiganak,AK,60.78,-161.79
"Major, Erin",1956,110000,Assessment,Alumn,Somewhat Connected,NA,NA,,75126,411,366,158,458,205,10000,20000,20000,10000,20000,Forney,TX,32.745373,-96.46038
"Hernandez, Karen",2014,110000,Annual Fund Leadership,Alumn,Not Connected,"el-Jaffer, Zaahira",NA,,02302,0,118,0,70,14,10000,20000,10000,10000,20000,Brockton,MA,42.08715,-71.00222
"Doering, Alexa",1952,NA,NA,Alumn,Not Connected,NA,NA,,18240,173,379,110,302,232,20000,20000,20000,10000,20000,Nesquehoning,PA,40.857175,-75.84811
"el-Shakir, Shaamikh",1966,110000,Cultivation,Alumn,Somewhat Connected,"Barela, Audreana",NA,,16680,303,0,0,305,0,10000,20000,10000,10000,20000,Smithmill,PA,40.75212,-78.41085
"el-Nour, Marwaan",NA,NA,NA,Parent,Somewhat Connected,NA,499995,Math/Science Center,28136,0,131,65,0,167,20000,10000,20000,10000,10000,Polkville,NC,35.396126,-81.630272
